Registration Set Name,Registration Status,Release Date
23-hbm-flagship-all,NOT PARTICIPATING,02/25
23-hbm-flagship-atkinson,Complete & in public EUI,02/25
23-hbm-flagship-spraggins,No reply from author,02/25
gtex-pan-eraslan-2022,No reply from author,02/25
hca-heart-teichmann-2020,NOT PARTICIPATING,02/25
hca-heart-tucker-2020,NOT PARTICIPATING,02/25
hca-liver-matchett-2023,No reply from author,02/25
hca-lung-meyer-2020,NOT PARTICIPATING,02/25
hra-gtex-pilot2,NOT PARTICIPATING,02/25
htan-intestine-sorger-2023,Complete & in public EUI,02/25
hubmap-intestine-snyder-2023,Complete & in public EUI,02/25
hubmap-kidney-jain-2023,Collecting metadata,02/25
hubmap-skin-ginty-2023,NOT PARTICIPATING,02/25
kpmp-kidney-winfree-2017,NOT PARTICIPATING,02/25
nhlbi-lung-wang-2020,No reply from author,02/25
omap-lymph-node-radtke-2021,No reply from author,02/25
omap-pancreas-bjoerklund-2023,Collecting metadata,02/25
sea-ad-brain-bakken-2021,Collecting metadata,02/25
sparc-heart-hanna-2021,Collecting metadata,02/25
uiowa-eye-mullins-2023a,No reply from author,02/25
uiowa-eye-mullins-2023b,NOT PARTICIPATING,02/25
uiowa-eye-mullins-2023c,Complete & in public EUI,02/25
hubmap-spleen-fan-2023,No reply from author,02/25
allen-brain-linnarsson-2022,No reply from author,03/14
gudmap-prostate-strand-2023,NOT PARTICIPATING,03/14
hubmap-kidney-fisher-2023,RUI configuration files complete,03/14
hubmap-lung-pryhuber-2023,Complete & in public EUI,03/14
hubmap-ovary-fisher-2023,No reply from author,03/14
hubmap-pancreas-campbell-2023,No reply from author,03/14
hubmap-pancreas-fisher-2023,No reply from author,03/14
kpmp-kidney-deboer-2021,NOT PARTICIPATING,03/14
sennet-14-pancreas-from-kanako-iawsaki,No reply from author,03/14
kpmp-kidney-6k3k-q779-2021,Collecting metadata,03/14
kpmp-kidney-47js-9y38-2021,No reply from author,03/14
kpmp-kidney-92nk-e805-2021,NOT PARTICIPATING,03/14
kpmp-kidney-deboer-2021,No reply from author,03/14
kpmp-kidney-eadon-2023,No reply from author,03/14
kpmp-kidney-iyengar-2023,No reply from author,03/14
kpmp-kidney-jain-2023,No reply from author,03/14
kpmp-kidney-t9fh-qn48-2021,No reply from author,03/14
kpmp-kidney-yyvc-ak78-2021,No reply from author,03/14
tabulasapiens-pan,No reply from author,03/14
hubmap-lung-ginty-xxxx,NOT PARTICIPATING,03/14
hubmap-bronchus-ginty-xxxx,No reply from author,03/14
hubmap-liver-stockwell-xxxx,No reply from author,03/14
xyz-thymus-teichmann-2023,NOT PARTICIPATING,03/14